RUNID,RESPNUM,CCGID,LATECODE,DESTMARK,DESTGEO,TERM,STRATA,ATYPE,AIRLINE,DEST,GATE,INTDATE,Q1,Q1A,Q1MIL,DEPTIME,PASSTIME,PASSMIN,Q2_1,Q3_1,Q4A,Q4B,Q4C,Q5,Q6,Q7,SAQ,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8H,Q8I,Q8J,Q8K,Q8L,Q8M,Q8N,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q11,Q12,Q13,Q13A1,Q13A2,Q13A3,Q14,Q15A,Q15B,Q16,Q17,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19,Q20,Q21,MAIL,LANG
94,931,3371,1,1,1,3,3,1,28,KLAMATH FALL,87,11,82500,2,20:25,21:30,01:05,65,2,3,0,0,0,2,2,2,2,6,6,6,6,5,5,6,6,6,6,6,6,6,4,5,6,6,6,6,5,5,2,,,,,11,4,3,2,4,HI,96738,US,10,7,2,1,1,1
94,932,3372,1,1,1,3,3,1,28,KLAMATH FALL,87,11,80000,2,20:00,21:30,01:30,90,3,3,2,2,2,2,2,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,3,2,,,,,11,3,6,2,4,OK,74525,US,11,6,2,0,1,1
94,933,3373,1,1,1,3,3,1,28,KLAMATH FALL,87,11,80000,2,20:00,21:30,01:30,90,1,3,0,1,1,2,2,4,2,4,3,3,2,4,4,6,6,6,6,4,6,6,3,3,6,4,6,4,4,5,2,,,,,11,3,6,2,4,CA,96058,US,10,5,1,0,1,1
94,934,3374,1,1,1,3,3,1,28,KLAMATH FALL,87,11,80500,2,20:05,21:30,01:25,85,1,3,2,2,2,2,2,4,2,3,2,3,4,4,4,4,4,4,6,4,6,6,4,3,6,3,6,4,3,3,2,,,,,11,4,6,2,4,OR,97601,US,10,2,2,0,1,1
94,935,3375,1,1,1,3,3,1,28,KLAMATH FALL,87,11,73000,1,19:30,21:30,02:00,120,1,3,1,1,0,2,2,0,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,5,5,5,1,5,,,,11,5,5,1,4,OR,,US,10,0,0,0,1,1
94,936,3376,1,1,1,3,3,1,28,KLAMATH FALL,87,11,60000,2,18:00,21:30,03:30,210,2,3,2,2,2,1,1,2,2,4,4,4,4,4,4,4,4,6,6,6,6,6,4,5,6,6,6,5,4,5,2,,,,,11,5,6,2,4,OR,97601,US,10,7,2,2,1,1
94,937,3377,1,1,1,3,3,1,28,KLAMATH FALL,87,11,63000,2,18:30,21:30,03:00,180,5,3,2,2,1,2,1,3,2,4,4,4,4,3,4,3,3,4,4,4,3,3,4,4,3,4,3,3,3,4,2,,,,,11,4,4,2,4,OR,97601,US,10,3,1,2,1,1
95,3134,3109,1,1,1,4,1,1,16,LONG BEACH,1,5,80000,1,8:00,9:09,01:09,69,2,2,2,2,1,2,2,2,0,5,4,4,5,5,5,5,5,5,4,6,4,6,5,5,5,6,6,4,4,5,2,,,,,1,5,3,2,1,CA,94536,US,3,3,1,3,1,1
95,3135,3110,1,1,1,4,1,1,16,LONG BEACH,1,5,73500,1,7:35,9:09,01:34,94,3,2,2,2,2,2,2,3,1,5,4,4,5,5,5,5,5,5,4,6,6,6,5,5,6,6,6,5,5,4,2,,,,,6,5,5,2,1,CA,94080,US,2,3,1,2,1,1
95,3136,3111,1,1,1,4,1,1,16,LONG BEACH,1,5,74500,1,7:45,9:09,01:24,84,1,2,2,2,2,2,2,1,1,4,6,6,4,5,5,6,6,3,6,6,6,6,4,5,6,6,6,6,6,4,2,,,,,7,3,5,2,1,CA,95127,US,4,2,2,0,1,1
95,3137,3112,1,1,1,4,1,1,16,LONG BEACH,1,5,63000,1,6:30,9:09,02:39,159,2,2,2,2,1,2,2,1,1,6,6,5,5,5,5,6,6,5,6,6,6,6,5,5,6,6,6,6,5,5,2,,,,,5,5,5,2,3,CA,90814,US,10,7,2,0,1,1
95,3138,3113,1,1,1,4,1,1,16,LONG BEACH,1,5,70000,1,7:00,9:09,02:09,129,2,2,1,2,2,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,,,,,31,5,5,2,2,CA,95762,US,10,2,1,4,1,1
95,3139,3114,1,1,1,4,1,1,16,LONG BEACH,1,5,80000,1,8:00,9:09,01:09,69,1,2,2,2,2,2,2,3,2,4,6,6,3,4,4,6,6,6,6,6,6,6,4,5,5,5,5,6,5,5,3,,,,,7,5,5,2,2,,,,10,7,1,3,1,1
95,3140,3115,1,1,1,4,1,1,16,LONG BEACH,1,5,75000,1,7:50,9:09,01:19,79,3,2,1,1,2,2,1,3,2,5,5,5,5,5,5,3,3,4,3,5,6,6,5,4,3,3,3,5,4,5,2,,,,,6,5,5,2,1,CA,94401,US,2,7,2,2,1,1
95,3141,3116,1,1,1,4,1,1,16,LONG BEACH,1,5,71500,1,7:15,9:09,01:54,114,3,2,0,1,1,1,2,3,2,3,3,3,4,3,2,2,2,2,3,3,2,2,3,4,3,3,3,3,3,3,1,4,,,,6,3,2,2,1,CA,94044,US,2,5,2,4,1,1
95,3142,3117,1,1,1,4,1,1,16,LONG BEACH,1,5,80000,1,8:00,9:09,01:09,69,3,2,1,2,2,2,2,2,2,6,4,4,3,4,5,5,5,3,3,6,3,6,3,5,6,6,6,4,4,3,0,,,,,6,5,5,2,1,CA,94019,US,2,6,1,2,1,1
95,3143,3118,1,1,1,4,1,1,16,LONG BEACH,1,5,81500,1,8:15,9:09,00:54,54,2,2,0,0,1,2,2,6,2,4,4,4,3,4,2,2,3,4,3,6,4,6,4,5,5,6,6,5,4,5,2,,,,,7,5,5,2,1,CA,95054,US,4,3,1,4,1,1
95,3144,3119,1,1,1,4,1,1,16,LONG BEACH,1,5,74500,1,7:45,9:09,01:24,84,3,2,1,2,1,0,0,0,2,3,3,3,3,3,3,3,3,3,6,2,6,6,3,4,6,3,6,4,3,3,2,,,,,5,2,3,1,1,CA,,US,1,4,2,4,1,1
95,3145,3120,1,1,1,4,1,1,16,LONG BEACH,1,5,81000,1,8:10,9:09,00:59,59,2,1,2,1,1,2,2,4,2,6,3,3,3,3,4,3,3,3,2,4,1,3,3,3,6,5,6,3,3,5,2,,,,,5,5,5,2,1,CA,94117,US,1,4,2,2,1,1
95,3146,3121,1,1,1,4,1,1,16,LONG BEACH,1,5,75000,1,7:50,9:09,01:19,79,3,2,0,0,1,2,1,5,2,5,4,4,5,5,5,6,6,5,4,6,4,4,4,3,2,6,3,3,3,3,1,5,,,,6,5,5,2,1,CA,94080,US,2,5,2,2,1,1
95,3147,3122,1,1,1,4,1,1,16,LONG BEACH,1,5,73000,1,7:30,9:09,01:39,99,3,6,2,2,1,2,2,6,2,4,3,3,4,4,4,3,4,5,6,4,6,6,4,4,6,4,6,4,3,5,2,,,,,5,5,5,2,1,CA,94109,US,1,4,2,4,1,1
95,3148,3123,1,1,1,4,1,1,16,LONG BEACH,1,5,73000,1,7:30,9:09,01:39,99,2,4,1,0,0,2,2,3,2,4,4,2,4,0,5,0,3,0,0,0,0,0,4,3,0,0,0,0,3,5,1,5,1,,,5,2,5,0,1,CA,4117,US,1,7,2,2,1,1
95,3149,3124,1,1,1,4,1,1,16,LONG BEACH,1,5,72000,3,7:20,9:09,01:49,109,3,6,1,2,2,2,1,3,2,4,3,4,4,4,4,6,6,3,6,5,6,6,4,5,6,5,6,5,5,5,2,,,,,1,5,1,1,3,CA,92833,US,10,2,1,3,1,1
95,3150,3125,1,1,1,4,1,1,16,LONG BEACH,1,5,63000,1,6:30,9:09,02:39,159,1,9,1,1,1,2,2,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,1,5,,,,7,5,5,1,3,CA,92833,US,10,3,2,2,1,1
95,3151,3126,1,1,1,4,1,1,16,LONG BEACH,1,5,80000,1,8:00,9:09,01:09,69,1,5,2,2,1,2,2,2,2,5,3,3,2,4,3,3,3,3,6,3,6,6,3,5,6,6,6,6,4,3,2,,,,,4,0,0,0,1,CA,,US,90,4,2,3,1,1
95,3152,3127,1,1,1,4,1,1,16,LONG BEACH,1,5,70000,1,7:00,9:09,02:09,129,2,5,1,2,1,2,2,2,2,5,2,3,5,5,5,6,6,5,6,5,6,6,4,5,6,5,6,5,5,4,2,,,,,1,5,5,2,1,CA,94608,US,3,3,1,2,1,1
95,3153,3128,1,1,1,4,1,1,16,LONG BEACH,1,5,71500,1,7:15,9:09,01:54,114,3,2,1,0,1,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,,,,6,5,5,2,1,CA,94036,US,2,6,1,1,1,1
95,3154,3129,1,1,1,4,1,1,16,LONG BEACH,1,5,73000,1,7:30,9:09,01:39,99,1,2,2,2,2,2,2,3,2,4,4,3,2,4,3,3,3,4,4,4,4,4,4,4,4,2,0,4,4,4,2,,,,,2,3,3,2,1,CA,94803,US,5,5,1,4,1,1
95,3155,3130,1,1,1,4,1,1,16,LONG BEACH,1,5,80000,1,8:00,9:09,01:09,69,3,2,2,2,1,2,2,3,2,5,3,2,4,4,4,4,4,2,3,3,6,2,4,5,4,6,4,4,4,5,2,,,,,6,3,4,2,1,CA,94010,US,2,4,2,4,1,1
95,3156,3131,1,1,1,4,1,1,16,LONG BEACH,1,5,70000,1,7:00,9:09,02:09,129,3,4,2,2,1,1,2,3,2,4,4,3,4,5,4,3,3,2,3,4,6,6,4,5,3,5,6,5,5,4,2,,,,,5,5,5,2,1,CA,94706,US,3,3,2,1,1,1
96,4023,3132,1,2,8,4,2,1,28,SEOUL,100,5,74500,1,7:45,11:00,03:15,195,1,3,2,2,1,2,2,3,1,3,3,3,4,5,3,6,6,4,4,5,6,3,4,5,6,5,4,5,5,5,1,5,5,,,11,4,5,2,4,CO,80305,US,10,6,1,4,1,1
96,4024,3133,1,2,8,4,2,1,28,SEOUL,100,5,73000,1,7:30,11:00,03:30,210,1,3,1,2,2,1,2,3,1,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,6,6,6,5,5,5,2,,,,,11,5,5,2,4,,,PHILIPPINES,16,7,1,3,1,1
96,4025,3134,1,2,8,4,2,1,28,SEOUL,100,5,91000,1,9:10,11:00,01:50,110,1,3,2,1,2,2,2,1,1,4,4,4,5,4,5,4,4,6,6,6,6,6,4,5,6,6,6,5,5,5,2,,,,,11,3,6,2,4,SONORA,,MEXICO,13,3,1,2,1,1
